username,date,text,length
Yilin Wang (she/they),2022-01-30T23:59:56.000Z,@jeeyonshimI wasn't a nap person before the pandemic but I am recovering from covid (it's been about 2.5 weeks) and I am just like I am napping every day now,157
,2022-01-30T23:59:56.000Z,pandemic all within less than a year sure did a number on my weight and body,76
molly ◡̈,2022-01-30T23:59:55.000Z,Thank you for keeping me sane last 2020-Oct2021. Our lives were on pause because of the pandemic but seeing your updates everyday felt like a gift in this hell. So thank you! Excited na ko sa movie mo.,201
Craig Castleberry,2022-01-30T23:59:52.000Z,@VetNationShow@Tom_Neverwinterand 48 othersJan 2021. That is a 5 year scale. Clearly prices started to rise during the pandemic. Correlation.,141
Chan kan,2022-01-30T23:59:52.000Z,"""Thousands gather on Parliament Hill to protest pandemic measures""The Globe and MailThe Globe and Mail@globeandmailThousands gather on Parliament Hill to protest pandemic measuresThousands gather on Parliament Hill to protest pandemic measures",243
95markr,2022-01-30T23:59:51.000Z,@LettuceRadicalandand@OzraeliAviA lack of leadership from Australian Leaders yet again! You can't just try and manage a pandemic with mandatory vaccinations! And yes I'm tripple vaxed. The transport industry has very high vaccination rates as well but have been let down by the Governments of Australia.,303
eumelia m. cue,2022-01-30T23:59:49.000Z,"@PHLSSS hi i’m 62 years old  and got terminated because company temporally closed due to the covid 19 pandemic. Am I still entitled to SSS unemployment benefit? I have not filed my retirement yet, as I am still looking for a job. Please advise.",244
Jennifer Mah 馬珍妮,2022-01-30T23:59:48.000Z,"Praying for our government, our leaders, that this pandemic will end and stop getting worse. I pray that the world will be vaccinated and we will all be healthy. Lord, please fight this virus. End it. Destroy it. In Jesus’ Name I pray, Amen. #OurCreatorOurHealerOurMiracleWorker",278
Omi and Poni,2022-01-30T23:59:42.000Z,Always good to see an administration focusing on the real issues in a pandemic.  Really ?! #egos if the current administration focused on the cluster fk they have lit people wouldn't be so critical. Get a grip and put on your big boy undies Fast.Quote TweetSamoa ObserverSamoa Observer@samoaobserver · Jan 30The Faleata No. 3 M.P. Lealailepule Rimoni Aiafi says his suspension from Parliament this morning was a deliberate move by the Government to stop him from raising critical issues.,488
CJ,2022-01-30T23:59:41.000Z,CBC is dictated to by the 600 million dollars to stuff their pockets to keep silent during the pandemic.  They are not journalists but paid stooges for the government. We no longer believe what u write or say.Quote TweetThe Counter SignalThe Counter Signal@TheCounterSgnl · Jan 30Is anyone surprised the CBC didn't make the cut? twitter.com/Travisdhanraj/…,356
Mourn2Weenie #MarakaMaraka,2022-01-30T23:59:40.000Z,"Russia? They're flubbing the data, plus they're already lying to the public

North Korea? Duh, and a massively undereducated, impoverished populace doesn't help

China? Initially? Yes. But credit the CCP for at least taking this pandemic seriously.Quote TweetLucaLuca@dainserk · Jan 30People that unironically believe covid data provided by China, Russia and North Korea will never stop being funny to me.Show this thread",421
Orsa Dyane,2022-01-30T23:59:39.000Z,Biden Pandemic Advisor Zeke Emanuel Was Wrong About COVID From The Beginninglidblog.comlidblog.comBiden Pandemic Advisor Zeke Emanuel Was Wrong About COVID From The Beginning - The LidBiden Pandemic Advisor Zeke Emanuel Was Wrong About COVID From The Beginning - The LidDr. Zeke Emanuel is advising Joe Biden about COVID-19 and was recently named to Biden's COVID advisory board. He's been wrong about COVID from the startDr. Zeke Emanuel is advising Joe Biden about COVID-19 and was recently named to Biden's COVID advisory board. He's been wrong about COVID from the start,574
Shane ☭,2022-01-30T23:59:39.000Z,"@JustaCoinTossLuckily, nobody is banning podcasts. People are boycotting a multibillion dollar corporation that's spending hundreds of millions of dollars to produce right wing bigotry and lies during a pandemic. It's a democratic boycott, not censorship.",255
Marcus McKnight,2022-01-30T23:59:38.000Z,"@CaralhoPhillyandand@bikemamadelphiaSo if they pay taxes, how do we make sure the money is spent responsibly?

Look at what trusted organizations did with pandemic money...",173
Aria Austin,2022-01-30T23:59:36.000Z,"I saw this on Instagram and couldn’t believe it. Absolutely heartbreaking. You never know what people are going through, let alone during a pandemic. 
Rest In Peace Cheslie Quote TweetTODAYTODAY@TODAYshow · Jan 30Cheslie Kryst, Extra correspondent and former Miss USA, dies at",277
"JT, the Uranian.",2022-01-30T23:59:36.000Z,"@pmm32183I talk about issues to women easier than I do men. so my longest therapist was a (hetero) woman, I challenged myself during the pandemic and had a gay man (virtually) until I got my head (sort of) straightened a bit.",225
Tanuj Deora,2022-01-30T23:59:35.000Z,"900 miles since the pandemic started on my trusty Performance Nomad, but over $500 of maintenance (for a bike bought new 12 years ago for $300) means it’s time to retire it for a more modern model. #bikepals",207
Luzvisminda Porquez,2022-01-30T23:59:30.000Z,@TeeBeeCryptoandand@PegaxyOfficialGd day sir. By giving scholarship to deserving scholars is a great help especially in this time of pandemic. I hope and pray that many more scholars will be blessed through you sir. God Bless you sir.,234
Avon Patch,2022-01-30T23:59:30.000Z,"U.S. bank retail branch closings increased 38 percent in 2021, including several in CT, as the pandemic drives digital banking.patch.compatch.comBank Branch Closures Hit Record: 59 In Connecticut ShutteredBank Branch Closures Hit Record: 59 In Connecticut ShutteredU.S. bank retail branch closings increased 38 percent in 2021, including several in CT, as the pandemic drives digital banking.U.S. bank retail branch closings increased 38 percent in 2021, including several in CT, as the pandemic drives digital banking.",519
Elana 𓃱,2022-01-30T23:59:28.000Z,@____icequeenI think the pandemic really fucked some people up?,64
pandemic paulie,2022-01-30T23:59:27.000Z,INXS - Never Tear Us Apart,27
Dr! RK Crosby,2022-01-30T23:59:24.000Z,"@jamesmassolaBest option for Morrison. There's no great love for Albanese, give Liberals a different leader and they could be returned. People won't want to vote for chaos/change given pandemic, numbers will swing back hard once poll is called.",244
Queen Keí,2022-01-30T23:59:23.000Z,This needed to go long before the pandemic.Quote TweetKGKG@KGOOD86 · Jan 30Yes indeed… twitter.com/BetoORourke/st…,114
Michael Neufeld,2022-01-30T23:59:22.000Z,"My pandemic red flag is replying “sick” to anything someone texts me then immediately responding to myself “or rather, hopefully not sick”",138
Bee,2022-01-30T23:59:18.000Z,We've been ending mitigation measures too early for 2 years and we're still trying to do that with masks and omicron and we can't firgure out why we're still in a pandemic,171
K ♡,2022-01-30T23:59:18.000Z,"@onemadmudderandand@globalnewsIts not just about mandates.... get out of your head and look past the news stations and the government. It's lies and manipulations we are trying to stop in regards to covid and our lives! Regardless of vx status,we all spread it, but only the ""Fringe"" can see past the pandemic!",310
Australia Today,2022-01-30T23:59:14.000Z,"There are numerous Australia-made Rapid Testing companies awaiting approval by the TGA 
 
Shadow Industry Minister Ed Husic says the pandemic has demonstrated we rely too heavily on other countriesomny.fmomny.fmTGA holding back approving Australia-made Rapid tests - Australia...TGA holding back approving Australia-made Rapid tests - Australia...Steve Price speaks to Shadow Industry Minister Ed Husic about the supply chain crisis gripping Australia as a Rapid Test shortage continues to prevent essential workers returning to work.Steve Price speaks to Shadow Industry Minister Ed Husic about the supply chain crisis gripping Australia as a Rapid Test shortage continues to prevent essential workers returning to work.",721
Shayla EM,2022-01-30T23:59:14.000Z,"I’m vaccine free and haven’t been sick since before the beginning of the pandemic, I’m sorry for choosing to eat healthy and take care of myself regularly. I chose to be vaccine free as it should be a choice to take it if you want to for yourself. Choices should be respected.",276
Johanna,2022-01-30T23:59:13.000Z,@JohannaYale@mcneal_deshawnand 2 othersThen they decided that the voter themselves had to place it in the drop box…during a pandemic & he was bedridden paralyzed. I wasn’t allowed to do it for him.But he was on lockdown from pandemic. 2/,237
Ian Ricksecker,2022-01-30T23:59:00.000Z,"@IanRicksecker@AlexGaggioand 4 othersOur esteemed O.P., Dr. @EpiEllie Murray's thread on the math of Rₑ explains why we cannot vaccinate our way out of this pandemic via voluntary vaccination.

Herd immunity was already out of reach due to the infectiousness of Delta:Quote TweetDr Ellie Murray, ScDDr Ellie Murray, ScD@EpiEllie · Aug 3, 2021THINK LIKE AN EPIDEMIOLOGIST: 

The CDC’s recent announcement that the Delta variant has an average reproductive number of 6-9 has a lot of people concerned & many are asking me about whether this means we need COVID boosters. 

Let’s talk through the math of how we might decide!Show this threadGIF",641
Maggie Archibald,2022-01-30T23:59:00.000Z,"If people want to do something nice, consider donating to @sghottawa. 

The protestors in Ottawa stole food from a homeless shelter. 

The homeless have struggled enough with this pandemic. And the winter weather doesn't make it better.

Donate",246
Olga,2022-01-30T23:59:00.000Z,"Nurses, doctors and healthcare workers shows up for work at every hospital in Canada, are carrying the brunt of fighting the pandemic. Celebrate that.
While whiny self centered anti-vaxxers clog the medical system when they become gravely ill.",243
MissMonaghan,2022-01-30T23:58:58.000Z,Goldie Hawn Pens Op-Ed on the 'Trauma' Kids Are Facing Due to Pandemic | http://people.compeople.comGoldie Hawn Pens Op-Ed on the 'Trauma' Children Are Facing Due to COVID Pandemic: 'Kids Are Afraid'Goldie Hawn Pens Op-Ed on the 'Trauma' Children Are Facing Due to COVID Pandemic: 'Kids Are Afraid'Goldie Hawn penned an op-ed in which she discussed the mental health struggle of children amid the ongoing COVID-19 pandemicGoldie Hawn penned an op-ed in which she discussed the mental health struggle of children amid the ongoing COVID-19 pandemic,546
Deacon Blues 執事藍調 #Resist!,2022-01-30T23:58:57.000Z,"@HoldingTheCent1One of the original reasons for masks was ""to remind you we're in a pandemic""",93
TankenttiPorist,2022-01-30T23:58:56.000Z,@science_abDuring a pandemic people have become more aware of anti-vaxx sentiment and it's enablers?,100
JA Negah,2022-01-30T23:58:55.000Z,@KevinTreichelandand@BillyhottakesIs that working stop the pandemic?,68
Rev. Patrick,2022-01-30T23:58:51.000Z,"@heyletsmakestufNext you'll be telling people that washing their hands after using the restroom was never a ""pandemic thing"" that we were supposed to be doing all along.... Come on, Cori!!!!",190
Llama Llama Llama,2022-01-30T23:58:50.000Z,@afshineemraniCovid will be a seasonal flu. Move on. The pandemic is over.,74
Roddy Bats 13,2022-01-30T23:58:48.000Z,"If you think your freedoms have been taken away from you during this pandemic, I’d like to express my freedom to tell you to fuck off.",134
`,2022-01-30T23:58:45.000Z,@xundoIIHEEELLPPP consider urself lucky i havent been to irl class since the pandemic started,93
Motheo__xx,2022-01-30T23:58:39.000Z,"@billynvrleftPlease, my brother, please. 
We're still recovering from a pandemic, we don't need to to kick-start another one",125
Random Dude,2022-01-30T23:58:37.000Z,"@Mijnhobbyhoekje@K_G_Andersenandand@Ammer_Bthe so called expert you follow exaggerates and bends the numbers to scare people. People like him want the pandemic to continue since it means more business, I thought that would be obvious to you",240
TheLegoLovingTeacher,2022-01-30T23:58:37.000Z,@FixingEducationOne thing the pandemic has shown is how much schools do for the community. Now whether people want to acknowledge that remains the issue,152
bobbi,2022-01-30T23:58:34.000Z,"""Thousands gather on Parliament Hill to protest pandemic measures""The Globe and MailThe Globe and Mail@globeandmailThousands gather on Parliament Hill to protest pandemic measuresThousands gather on Parliament Hill to protest pandemic measures",243
Jeff Burr,2022-01-30T23:58:30.000Z,@WhiteHouseandand@POTUSWhere is the proof?  Can you really compare pandemic year 2 to the lockdown and really pay yourself on the back for it? The economy had one way to go which was up.,186
a rat called susan,2022-01-30T23:58:29.000Z,seeing ppl book hotels for pale waves and it's making me really want to go but I'm too anxious about covid for that shit I hate my brain and I hate this pandemic,161
AnIcarus,2022-01-30T23:58:28.000Z,"@SixandLauraandand@MdRisetteno, because kids were home, not getting exposed to a pandemic virus during that time.",113
Phillip,2022-01-30T23:58:26.000Z,@Floyd1733andand@PegaxyOfficialHoping to be part of your team so that i can help my family in needs during this pandemic LAW OF ATTRACTION,139
SusanG02,2022-01-30T23:58:26.000Z,Made some garlic rosemary focaccia bread today. Sprinkled with a touch of shaved parmesan. Used my early pandemic bread making skills,134
phoebe,2022-01-30T23:58:24.000Z,she wrote folklore and evermore because she was stuck in her house during an unprecedented global pandemic i promise she didn't plan them in advanceQuote Tweetnowninowni@SwiftamineSO4 · Jan 30let's all have a panic attack in 3... 2... 1...Show this thread,255
Around World journal,2022-01-30T23:58:20.000Z,"Brazil has a moving average of 186,000 infected, the highest since the beginning of the pandemic – 01/30/2022 – Daily life",123
Tiffan Schaaf,2022-01-30T23:58:19.000Z,"It’s 2022. 

The pandemic is beginning to end. 

AND THE BENGALS ARE GOING TO THE SUPER BOWL What a time to be alive #RuleTheJungle #WHODEY #WeDem",146
10/26/21..,2022-01-30T23:58:17.000Z,i had 20 before tha pandemic fuck a ppp,39
sue hodges,2022-01-30T23:58:17.000Z,@LaTrioli Anne Hollands seems to be living in a fantasy world. The pandemic is showing no sign of abating. She seems intent on ignoring the health effects of getting Covid.,172
Finding Languedoc,2022-01-30T23:58:14.000Z,"Fight against Covid: school classes equipped with CO2 sensors (Finding
Languedoc). To deal with the pandemic, the municipality has just bought CO2
sensors and has equipped all primary and kindergarten classes with them.
""Airborne transmission appe...lindependant.frlindependant.frLutte contre le Covid : les classes de l’école équipées de capteurs de CO2Lutte contre le Covid : les classes de l’école équipées de capteurs de CO2Pour faire face à la pandémie, la commune vient d’acheter des capteurs de CO2 et en a équipé toutes les classes du primaire et de la maternelle. "" Il semble que la transmission par voie aérienne soit...Pour faire face à la pandémie, la commune vient d’acheter des capteurs de CO2 et en a équipé toutes les classes du primaire et de la maternelle. "" Il semble que la transmission par voie aérienne soit...",832
NOLA LOLA LAMBCHOP,2022-01-30T23:58:12.000Z,"@KHostagesandand@FoxNewsLie. She upheld signature requirements and struck down witness requirements in the middle of a pandemic. 
Get your fucking facts straight.",162
Dave Noon,2022-01-30T23:58:11.000Z,"This is a cool and sobering pandemic craft.Quote TweetRalphina K. BeznikRalphina K. Beznik@rkbezzie · Jan 30Covid blanket is DONE!!!

I started crocheting this blanket in August 2020. Each stripe represents the daily amount of covid cases in the Central Kenai Peninsula (Kenai, Soldotna, Nikiski, & Sterling) from July 1, 2020 to June 30, 2021. 1/Show this thread",363
astro library,2022-01-30T23:58:08.000Z,"@KrankvorLiebe@dmitrichurchandand@denise_dewaldIt's a pity, she has made some real contributions to the pandemic coverage.  But frothing middle-class nationalist anti-communism bares its teeth here and rationality goes out the window.",234
XCZ,2022-01-30T23:58:06.000Z,@magdalenepopNFR is really a pandemic,37
Joe Remi,2022-01-30T23:58:03.000Z,"I'm really really REALLY tired of ""kills people"" being a side in the pandemic discussion. COVID doesn't get a voice, too..we're not giving it a constitutional right to exist. SHUT UP.",183
Joshua C. Agar,2022-01-30T23:57:58.000Z,"Philippines has this infectious disease specialist who is locked with the droplet dogma. As a technical advisor to the pandemic response, Dr. Salvaña is telling this misinformation about N95 masks.@jljcolorado @linseymarr @kprather88 @trishgreenhalgh @JimRosenthal4 @NjbBari",274
Wolfred Nelson,2022-01-30T23:57:57.000Z,"@NickAndres13andand@nationalpostAn unnecessary election in the middle of a pandemic isn't a badge of honour.

This system is in desperate need of PR reform so working class voices get heard.

Those 2 bad actors yesterday have been dealt with, cenotaph guarded, garbage picked up, & entirely peaceful.

Nice try.",311
Sandi Adams,2022-01-30T23:57:39.000Z,"@DFismanI don't care if I ever see him again.
We have approx. 5 mos to elxn, so I'd be pretty happy to see the cities & municipalities 'take 
care of business' til June.
They've essentially been doing exactly that for the better part of this pandemic.
Enjoy your time off, Doug",277
Beek,2022-01-30T23:57:38.000Z,"Ah yes the pandemic will officially end in two weeks and evaporate into thin air. Great news for allQuote TweetBilly FootballBilly Football@Billyhottakes · Jan 31The Pandemic started with Joe Burrow and Jamar Chase winning a championship, it will end with them winning the Super Bowl.",284
End Fake News,2022-01-30T23:57:36.000Z,"@cornwallyo69well, restrictions have started to ease up. If you people don't shape up, we are going back to square one.

It's a pandemic. It's no ordinary time.

How many times do you have to be told THAT.",205
Cooper Aerobics,2022-01-30T23:57:36.000Z,"Are you putting #yourhealth on hold and postponed annual #screenings during the pandemic? #CooperClinic Chief Medical Officer Michele Kettles, MD, MSPH, provides the essential checklist of #preventive exams & screenings for good health in 2022. Read: http://klist….",265
Nibbles,2022-01-30T23:57:36.000Z,"I just heard someone on the radio say ""post-pandemic."" We aren't ""post-"" #COVID19. It's everywhere and we're a cesspool in denial.

It's called emotional fatigue and burnout from the stress of how long this is taking for humanity to #WIN.

There may be no winning this.",269
Smaran Dayal,2022-01-30T23:57:28.000Z,"The sooner we decouple our identities from our jobs, the better placed we'll all be in this profession to demand better pay, more stability, greater student-to-prof ratios, an end to adjunctification, and (pandemic-)safe workplaces. 3/",235
Ice Maiden,2022-01-30T23:57:28.000Z,"How long will it take, with the current Covid restrictions, for all those who aren't vaxxed and can't fight off the virus to die? Will that be the end of the pandemic?.........NSW records 27 COVID deaths, number of cases in hospital steadyabc.net.auabc.net.auParents to receive $500 vouchers as NSW records 27 COVID deathsParents to receive $500 vouchers as NSW records 27 COVID deathsThe Premier Dominic Perrottet says parents will receive a $500 voucher for each child to ease cost-of-living pressures for them as they juggle work and family life. The Premier Dominic Perrottet says parents will receive a $500 voucher for each child to ease cost-of-living pressures for them as they juggle work and family life.",715
chiefs.girl,2022-01-30T23:57:28.000Z,@TonyPericandand@ByNateTaylorSome of us lost our husbands because of the pandemic and have nothing else the off-season is torture especially with the bullshit loss that shouldn't have happened,192
TonyCross,2022-01-30T23:57:26.000Z,"@benrileysmithHi Ben, I don't want to pee on your exciting 'Big Dog Protection' story but neither of them were PMs during a pandemic who set rules explicitly stating booze-ups were not allowed. But keep up the client journalism.",228
The Granbys CT Patch,2022-01-30T23:57:23.000Z,"U.S. bank retail branch closings increased 38 percent in 2021, including several in CT, as the pandemic drives digital banking.patch.compatch.comBank Branch Closures Hit Record: 59 In Connecticut ShutteredBank Branch Closures Hit Record: 59 In Connecticut ShutteredU.S. bank retail branch closings increased 38 percent in 2021, including several in CT, as the pandemic drives digital banking.U.S. bank retail branch closings increased 38 percent in 2021, including several in CT, as the pandemic drives digital banking.",519
Davon Bruno,2022-01-30T23:57:21.000Z,@ConSelfOwnsThings I'm more sick of than the pandemic: mediocre white people.,77
Jryl Recosalem,2022-01-30T23:57:18.000Z,@TeeBeeCryptoandand@PegaxyOfficialI need this scholar for my school I'm in college now self support no work because of this pandemic....I've tried to chat in discord at get your pega but it's so fast I hope this time at 2 wave I can be your lucky scholar sir....hoping,268
Trish Wolf,2022-01-30T23:57:17.000Z,@PremierScottMoeThank you for making the most sensible decision I have seen since the start of the pandemic. This proves your integrity to your people. I wish I didn’t live in Ontario. Our Premier has conflicts of interest and his net worth has grown exponentially since the beginning of this!,293
JLHgarden,2022-01-30T23:57:15.000Z,"Holding a mass temper tantrum in Ottawa, disguised as a street party, won’t end the pandemic",93
THE CITY,2022-01-30T23:57:15.000Z,"NEW: Remittances to Mexico are shattering records, defying analysts’ initial predictions that the pandemic would have an adverse effect. Many Mexican New Yorkers are keeping their loved ones afloat in their native country, despite struggling here.thecity.nycthecity.nycMountain of Money From New York Migrants Sustains Mexican Towns Through PandemicMountain of Money From New York Migrants Sustains Mexican Towns Through PandemicRemittances from workers to their families in Mexico are shattering records as family members send money and even donated food cans to keep their relatives afloat.Remittances from workers to their families in Mexico are shattering records as family members send money and even donated food cans to keep their relatives afloat.",755
cece,2022-01-30T23:57:02.000Z,@aphisticI wasn’t even aware of how hard I was masking until the pandemic unveiled that and then I realized,107
NY BATs,2022-01-30T23:57:01.000Z,"@sss1788@MartinaFitz1and 2 othersNY faced a teacher shortage even before the pandemic. They are indeed taking different jobs, causing an immediate crisis-level shortage of staff and subs, since September, even though 150,000+ parents are keeping their kids home every day.

What do you suggest now?",298
betty james,2022-01-30T23:56:59.000Z,"Joe Rogan is not in charge of controlling this pandemic. 

The Biden Administration and CDC are the ones who have called ALL the shots! @Neilyoung @jonimitchell @nilslofgren @CDCDirector @Spotify @joerogan @Surgeon_General @jrpsaki @WHCOS @CNN @NBCNews @WHCOVIDResponse",269
sansi,2022-01-30T23:56:54.000Z,ive had it with this motherfucking virus on this motherfucking pandemic,71
The Lymes Patch,2022-01-30T23:56:53.000Z,"U.S. bank retail branch closings increased 38 percent in 2021, including several in CT, as the pandemic drives digital banking.patch.compatch.comBank Branch Closures Hit Record: 59 In Connecticut ShutteredBank Branch Closures Hit Record: 59 In Connecticut ShutteredU.S. bank retail branch closings increased 38 percent in 2021, including several in CT, as the pandemic drives digital banking.U.S. bank retail branch closings increased 38 percent in 2021, including several in CT, as the pandemic drives digital banking.",519
New Milford CT Patch,2022-01-30T23:56:53.000Z,"U.S. bank retail branch closings increased 38 percent in 2021, including several in CT, as the pandemic drives digital banking.patch.compatch.comBank Branch Closures Hit Record: 59 In Connecticut ShutteredBank Branch Closures Hit Record: 59 In Connecticut ShutteredU.S. bank retail branch closings increased 38 percent in 2021, including several in CT, as the pandemic drives digital banking.U.S. bank retail branch closings increased 38 percent in 2021, including several in CT, as the pandemic drives digital banking.",519
Bill: At Home,2022-01-30T23:56:45.000Z,"@MaggieKeresteciThat's true, as long as you're not protesting during a pandemic.",80
Erin You Ain't Pro Life Without A Mask Conroy,2022-01-30T23:56:40.000Z,"@Tvbona@EmilyOpinedand 2 othersI'm not trying to give individuals medical advice about their risk. I think ending the pandemic requires ending the false narrative of ""pandemic of some"".

You should take this concern about communicating vax effectiveness to the general population up with the CDC Director.",305
Raymond Monty Maboea,2022-01-30T23:56:39.000Z,"As people, we often react wi to sadness openly when suicide has claimed a famous person

Yet we are oblivious to the stats that clearly indicates thousands of people die by suicide due to mental illness 

A silent pandemic",222
Danbury Patch,2022-01-30T23:56:39.000Z,"U.S. bank retail branch closings increased 38 percent in 2021, including several in CT, as the pandemic drives digital banking.",128
.Grace,2022-01-30T23:56:36.000Z,"·Your faith affects the people around you.

As I write this, the whole world is in the middle of the COVID-19 pandemic. We are facing what looks like a disaster. Should we fall apart? Have a nervous breakdown?",209
StarkRG,2022-01-30T23:56:28.000Z,"@AllMattNYTI, for one, do not trust him about anything, but I also know I stopped trusting the NYT around when they published an article on how badly the pandemic was going in Florida but didn't once mention DeSantis' efforts to keep the virus spreading as much as possible.",274
Waterford Patch,2022-01-30T23:56:28.000Z,"U.S. bank retail branch closings increased 38 percent in 2021, including several in CT, as the pandemic drives digital banking.patch.compatch.comBank Branch Closures Hit Record: 59 In Connecticut ShutteredBank Branch Closures Hit Record: 59 In Connecticut ShutteredU.S. bank retail branch closings increased 38 percent in 2021, including several in CT, as the pandemic drives digital banking.U.S. bank retail branch closings increased 38 percent in 2021, including several in CT, as the pandemic drives digital banking.",519
