word,count
pandemic,1101
covid,228
people,168
branch,111
us,101
like,92
get,90
jan,90
time,77
increased,73
many,73
even,72
several,72
including,71
health,70
one,70
percent,70
digital,70
closings,68
retail,68
bank,68
ct,67
drives,67
years,65
year,64
think,64
still,63
would,61
since,60
hit,59
new,58
end,55
government,51
record,49
want,47
go,47
care,46
closures,46
two,46
need,46
much,45
connecticut,44
last,44
virus,43
work,43
world,43
also,43
dont,41
im,40
good,39
global,39
know,38
going,38
back,37
never,37
due,35
see,35
vaccine,34
take,34
children,34
started,32
way,32
say,31
vaccinated,30
especially,30
right,30
said,30
life,29
really,29
first,29
well,28
could,28
omicron,28
long,28
may,28
workers,28
every,28
i'm,27
give,27
day,27
can't,26
big,26
country,26
got,26
party,26
made,26
state,26
joe,25
banking,25
lot,25
help,25
masks,25
beginning,25
mask,25
keep,25
point,25
economy,24
report,24
vaccines,24
make,24
ever,24
start,24
thing,23
thread,23
super,23
sure,23
already,23
used,22
hard,22
bankingus,22
home,22
money,22
feel,22
friends,22
shutteredus,22
shutteredbank,22
great,22
nothing,22
bankingpatchcompatchcombank,22
middle,21
family,21
done,21
put,21
real,21
without,20
better,20
early,20
response,20
another,20
news,20
school,20
best,20
protest,20
biden,20
bowl,20
wont,20
working,20
public,20
economic,19
continue,19
others,19
around,19
lost,19
businesses,19
spotify,19
part,19
anything,19
support,19
data,19
everyone,18
must,18
schools,18
travel,18
times,18
death,18
hope,18
business,18
whole,18
media,18
use,18
happened,17
stop,17
across,17
please,17
actually,17
yet,17
try,17
industry,17
understand,17
county,17
months,17
love,17
kids,17
online,17
control,17
making,17
nurses,17
might,17
thought,17
lies,17
given,16
mass,16
jobs,16
things,16
demand,16
restrictions,16
someone,16
coronavirus,16
we're,16
trying,16
always,16
cant,16
show,16
believe,16
financial,16
pay,16
says,16
enough,16
healthcare,16
past,16
anyone,16
ago,15
flu,15
cause,15
rogan,15
next,15
mental,15
open,15
away,15
changed,15
bad,15
getting,15
let,15
misinformation,15
taking,15
cook,15
disease,15
inflation,15
dying,15
crisis,15
scientists,15
cases,15
pm,15
power,15
amid,15
church,14
return,14
means,14
ive,14
wrong,14
able,14
though,14
staff,14
ones,14
everything,14
didnt,14
seen,14
rules,14
maybe,14
deaths,14
budget,14
isnt,14
gov,14
de,14
likely,14
ottawa,14
far,14
talk,14
brought,14
reason,13
risk,13
sick,13
mandates,13
members,13
look,13
published,13
supply,13
something,13
stay,13
team,13
social,13
mean,13
tips,13
read,13
soon,13
called,13
election,13
hate,13
review,13
medical,13
that's,13
olympics,13
questions,13
he's,13
find,12
went,12
trump,12
pandemics,12
coming,12
face,12
win,12
question,12
different,12
million,12
child,12
canada,12
break,12
food,12
almost,12
place,12
china,12
test,12
states,12
week,12
parents,12
students,12
thats,12
impact,12
person,12
video,12
nhs,12
lives,12
live,12
possible,12
parliament,11
decade,11
throughout,11
thanks,11
millions,11
la,11
lockdown,11
pandemicquote,11
theres,11
come,11
full,11
fight,11
evidence,11
tantrum,11
fun,11
national,11
games,11
doctors,11
nurse,11
told,11
policy,11
absolutely,11
services,11
died,11
become,11
heard,11
holding,11
system,11
game,11
http,11
free,11
among,11
australia,11
failed,11
havent,11
unemployment,11
measures,11
reality,10
despite,10
paper,10
political,10
asking,10
number,10
reach,10
general,10
narrative,10
street,10
weeks,10
black,10
important,10
days,10
severe,10
minister,10
teachers,10
music,10
lead,10
bsn,10
chump,10
delivery,10
comes,10
wear,10
office,10
gets,10
chiefs,10
killed,10
police,10
lol,10
science,10
job,10
broken,10
union,10
worse,10
least,10
saying,10
transmission,10
role,10
oh,10
temper,10
entire,10
avoid,10
shit,10
tell,10
freedom,10
taken,10
move,10
fauci,10
disguised,10
attack,10
inslee,10
saw,10
truckers,10
needed,10
advisor,10
doesnt,10
nobody,10
natural,10
i've,10
bought,9
nice,9
homeowners,9
house,9
event,9
either,9
kaegi,9
blame,9
asked,9
longer,9
listen,9
pandemic-related,9
fritz,9
research,9
came,9
quite,9
set,9
folks,9
serious,9
policies,9
white,9
helped,9
rest,9
received,9
shows,9
three,9
community,9
knew,9
deep,9
tested,9
president,9
gone,9
terrible,9
toll,9
fucking,9
using,9
telling,9
pretty,9
worked,9
high,9
yes,9
ongoing,9
burrow,9
raised,9
local,9
dollars,9
young,9
resulted,9
putting,9
friend,9
tried,9
worst,9
thank,9
formula,9
bengals,9
glad,9
assessor,9
population,9
fourth,9
later,9
false,9
returning,9
forget,9
outside,9
sorry,9
true,9
known,8
key,8
cost,8
bc,8
low,8
today,8
deadly,8
unvaccinated,8
scientific,8
leaders,8
nearly,8
hospitals,8
winning,8
information,8
easy,8
protection,8
ppl,8
reports,8
remember,8
numbers,8
hospital,8
second,8
post,8
abuse,8
present,8
ending,8
diseases,8
playing,8
apart,8
sars-cov,8
violence,8
positive,8
tweet,8
gonna,8
straight,8
americans,8
current,8
fuck,8
costs,8
huge,8
knows,8
cap,8
less,8
issues,8
football,8
safe,8
gave,8
pressure,8
rates,8
problem,8
seems,8
safety,8
ends,8
essential,8
writes,8
federal,8
dr,8
prevent,8
u,8
fire,8
daily,8
pass,8
finally,8
higher,8
fully,8
little,8
patient,8
took,8
turning,8
decision,8
word,8
save,7
needs,7
youre,7
there's,7
churches,7
india,7
management,7
etc,7
cdc,7
line,7
program,7
instead,7
continues,7
leave,7
ppe,7
lying,7
plus,7
normal,7
learned,7
quote,7
wave,7
border,7
co,7
cancer,7
canadians,7
ivermectin,7
truth,7
